season,round,circuit_id,lat,long,country,date,url
1961,3,spa,50.4372,5.97139,Belgium,18/06/1961,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix
1961,4,reims,49.2542,3.93083,France,02/07/1961,http://en.wikipedia.org/wiki/1961_French_Grand_Prix
1961,5,aintree,53.4769,-2.94056,UK,15/07/1961,http://en.wikipedia.org/wiki/1961_British_Grand_Prix
1961,6,nurburgring,50.3356,6.9475,Germany,06/08/1961,http://en.wikipedia.org/wiki/1961_German_Grand_Prix
1961,7,monza,45.6156,9.28111,Italy,10/09/1961,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix
1961,8,watkins_glen,42.3369,-76.9272,USA,08/10/1961,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix
1962,1,zandvoort,52.3888,4.54092,Netherlands,20/05/1962,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix
1962,2,monaco,43.7347,7.42056,Monaco,03/06/1962,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix
1962,3,spa,50.4372,5.97139,Belgium,17/06/1962,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix
1962,4,essarts,49.3306,1.00458,France,08/07/1962,http://en.wikipedia.org/wiki/1962_French_Grand_Prix
1962,5,aintree,53.4769,-2.94056,UK,21/07/1962,http://en.wikipedia.org/wiki/1962_British_Grand_Prix
1962,6,nurburgring,50.3356,6.9475,Germany,05/08/1962,http://en.wikipedia.org/wiki/1962_German_Grand_Prix
1962,7,monza,45.6156,9.28111,Italy,16/09/1962,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix
1962,8,watkins_glen,42.3369,-76.9272,USA,07/10/1962,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix
1962,9,george,-33.0486,27.8736,South Africa,29/12/1962,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix
1963,1,monaco,43.7347,7.42056,Monaco,26/05/1963,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix
1963,2,spa,50.4372,5.97139,Belgium,09/06/1963,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix
1963,3,zandvoort,52.3888,4.54092,Netherlands,23/06/1963,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix
